cluster,centroid_lat,centroid_lon,time,DN,all,drug,financial,low_level_property,low_level_violent,non_criminal,public_order,severe_property,severe_violent,sexual_offenses,weapon
6,41.70441987,-87.64002793,3,N,777,6,32,148,0,41,6,276,217,20,31
6,41.73972744,-87.56670756,11,D,878,9,58,112,1,69,1,282,298,23,25
6,41.74545229,-87.57642851,2,D,1202,16,65,143,2,99,5,436,370,24,42
6,41.7840383,-87.61054774,10,D,1417,18,69,177,1,84,5,508,489,22,44
6,41.78612218,-87.7136531,5,N,777,9,25,135,0,53,7,230,253,16,49
6,41.87113523,-87.71327177,4,D,1296,100,85,149,0,68,21,353,432,40,48
6,41.8811414,-87.706268,11,N,1411,53,45,204,0,61,12,442,493,27,74
6,41.88313165,-87.63953358,12,N,1478,14,83,205,1,52,10,626,424,32,31
6,41.88871492,-87.63895123,5,D,1901,24,206,172,2,75,20,991,366,29,16
6,41.89186299,-87.64630676,4,N,1394,14,94,204,1,51,17,597,355,38,23
6,41.90633345,-87.7439896,6,N,1160,34,35,168,0,70,3,340,408,27,75
6,41.92288707,-87.75306649,9,N,1230,14,54,178,1,84,3,402,398,37,59
6,41.95664747,-87.81086414,9,D,345,10,48,32,0,33,4,110,98,6,4
6,41.95973795,-87.80093819,8,N,400,5,26,49,0,26,3,172,112,3,4
6,41.97021778,-87.83142255,1,N,188,4,17,28,0,17,1,74,38,7,2
6,41.97069357,-87.67426,10,N,1238,6,70,179,1,49,8,577,318,24,6
6,41.97164212,-87.83914311,12,D,195,2,53,16,0,12,1,71,34,4,2
6,41.97378646,-87.67531614,7,D,1504,10,217,161,1,69,8,620,371,39,8
6,41.97424155,-87.85740147,8,D,160,16,21,11,0,15,1,55,32,5,4
6,41.97442582,-87.84360709,1,D,203,7,27,22,0,15,3,74,50,4,1
6,41.97681092,-87.84982664,2,N,118,2,8,21,0,7,1,40,35,3,1
6,41.97771389,-87.84781207,6,D,170,4,18,13,0,16,2,70,42,2,3
7,41.69074989,-87.63224715,1,D,792,4,44,94,0,62,5,277,235,21,50
7,41.69651442,-87.63682652,6,D,805,11,59,110,0,87,9,223,252,19,35
7,41.69898719,-87.63185835,12,N,686,11,22,126,0,36,2,218,214,14,43
7,41.69953,-87.63049891,11,N,619,8,14,130,0,28,3,192,199,13,32
7,41.73811755,-87.56394437,10,N,821,6,14,150,0,40,4,314,236,14,43
7,41.76046638,-87.65205046,6,N,1068,25,28,178,0,50,9,340,343,20,75
