cluster,centroid_lat,centroid_lon,quarter,DN,CrimeGroup,count
2,41.80947388,-87.62012639,1,D,severe_property,1256
3,41.93113596,-87.75249548,1,D,severe_property,1176
4,41.78564752,-87.71492677,1,D,severe_property,859
5,41.74482471,-87.57538051,1,D,severe_property,1277
6,41.97415577,-87.67542214,1,D,severe_property,1672
7,41.97615585,-87.8488224,1,D,severe_property,185
8,41.87772547,-87.71678345,1,D,severe_property,1483
9,41.75916469,-87.64729672,1,D,severe_property,1128
0,41.87785776,-87.72118243,1,N,severe_property,1039
1,41.80865951,-87.62097869,1,N,severe_property,818
2,41.88819094,-87.64542273,1,N,severe_property,1819
3,41.93511638,-87.75068229,1,N,severe_property,954
4,41.74529154,-87.57713033,1,N,severe_property,974
5,41.78622527,-87.71655597,1,N,severe_property,707
6,41.69408674,-87.63524321,1,N,severe_property,660
7,41.97335413,-87.67467534,1,N,severe_property,1214
8,41.97358205,-87.8368497,1,N,severe_property,164
9,41.76016299,-87.64906645,1,N,severe_property,843
0,41.80786894,-87.61471983,2,D,severe_property,1226
1,41.91676766,-87.752421,2,D,severe_property,1285
2,41.88755325,-87.64003962,2,D,severe_property,2952
3,41.7659316,-87.65029601,2,D,severe_property,1098
4,41.97206748,-87.67609239,2,D,severe_property,1975
5,41.69560152,-87.63675088,2,D,severe_property,779
6,41.97279894,-87.82246217,2,D,severe_property,297
7,41.7428194,-87.57483807,2,D,severe_property,1133
8,41.87641297,-87.70813456,2,D,severe_property,1532
9,41.7857104,-87.7172756,2,D,severe_property,771
0,41.78670533,-87.71329017,2,N,severe_property,766
1,41.88962885,-87.64438368,2,N,severe_property,1850
2,41.759704,-87.64653243,2,N,severe_property,920
3,41.96087586,-87.79803283,2,N,severe_property,546
4,41.97191579,-87.67637343,2,N,severe_property,1515
5,41.91052903,-87.74455662,2,N,severe_property,1121
6,41.80985044,-87.62169286,2,N,severe_property,1058
7,41.74337052,-87.5760246,2,N,severe_property,946
8,41.86945317,-87.70865747,2,N,severe_property,1005
9,41.69427139,-87.63649063,2,N,severe_property,645
0,41.97410769,-87.67349848,3,D,severe_property,2034
1,41.73911876,-87.56537566,3,D,severe_property,822
2,41.88490744,-87.63858786,3,D,severe_property,3430
3,41.7721772,-87.66416522,3,D,severe_property,1021
4,41.97390928,-87.85625964,3,D,severe_property,148
5,41.69902501,-87.63179412,3,D,severe_property,752
6,41.78447228,-87.72538235,3,D,severe_property,642
